Subject	Scaling factor	Quantile value	Number of identified features	Library size
56.CA.Stool.663887	84.9999999999994	1	182	10000
59.HA.LeftPalm.663901	157.999999999999	1	413	10000
56.CA.RightFrontPaw.663898	606.999999999999	2	1010	10000
59.HA.RightPalm.663904	288.999999999999	2	439	10000
UT15.51a.663890	252.999999999999	2	405	10000
59.HB.Mouth.663892	55.9999999999994	1	124	10000
59.HB.Forehead.663886	142.999999999999	5	179	10000
59.HB.RightPalm.663903	152.999999999999	4	269	10000
59.HA.Forehead.663899	254.999999999999	3	377	10000
FL3.37a.2.663906	74.9999999999994	1	165	10000
56.CA.LeftBackPaw.663888	442.999999999999	2	914	10000
56.CA.RightBackPaw.663895	521.999999999999	3	770	10000
FL3.37a.3.663891	132.999999999999	1	382	10000
FL3.37a.1.663893	107.999999999999	2	205	10000
59.HA.Stool.663905	92.9999999999994	1.09108910891089	277	10000
HI20.58e.2.663885	72.9999999999994	1	201	10000
UT15.52a.663894	68.9999999999994	1	163	10000
FL3.36a.3.663907	122.999999999999	1	350	10000
59.HB.Stool.663902	115.999999999999	1	324	10000
HI20.58e.3.663896	80.9999999999994	1	209	10000
56.CA.Mouth.663897	69.9999999999994	1	179	10000
56.CA.Forehead.663900	305.999999999999	3	543	10000
59.HB.LeftPalm.663908	248.999999999999	3	338	10000
59.HA.Mouth.663889	56.9999999999994	1	136	10000
